metric_1,metric_2,spearman_r,p_value,ci_lo,ci_hi
AGEE,Hits@1,-0.11265076121858865,0.0032430781105223633,-0.20039952799992758,-0.01950004506436249
AGEE,PR,-0.2959840690641568,3.09037302134391e-15,-0.3631948324632892,-0.22876547142262435
AGEE,IDS,-0.1364333283858753,0.0008062758589997381,-0.21396167139593728,-0.058894812333105756
AGEE,UPR,-0.13565309165899334,0.00038535063885815823,-0.21200288403548118,-0.05663615002966793
Hits@1,PR,0.30344816091721794,5.684753308188867e-16,0.23681812839956662,0.36948899006173636
Hits@1,IDS,-0.19932228155885873,8.581019684706541e-07,-0.27499894570668176,-0.11349127207677033
Hits@1,UPR,-0.3409281372533415,5.3741007083657246e-20,-0.39236429313962207,-0.28120026218208505
PR,IDS,-0.13130560966305677,0.001266000922087972,-0.21335100341623353,-0.04739756235588251
PR,UPR,-0.14311219925419694,0.00017889352730610198,-0.2250490884558245,-0.05617090571039405
IDS,UPR,0.8391955103476336,2.4896350824063764e-160,0.8153516599402242,0.8586507680963543
